Country ,Total,Year,Latitude,Longitude
China,4472071,2019,35.86166,104.195396
Japan,2167952,2019,36.204823,138.25293
South Korea,1242598,2019,35.907757,127.766922
India,40353,2019,20.5937,78.9629
Malaysia,537692,2019,4.2105,101.9758
Singapore,460635,2019,1.3521,103.8198
Indonesia,229960,2019,-0.7893,113.9213
Phillipines,509519,2019,12.8797,121.774
Thailand,413926,2019,15.87,100.9925
Vietnam,405396,2019,14.0583,108.2772
Canada,136651,2019,56.1304,-106.3468
United States of America,605054,2019,37.0902,-95.7129
Middle East,24030,2019,29.298529,42.550961
Mexico,4033,2019,23.6345,-102.5528
Brazil,5417,2019,-14.235,-51.9253
Argentina,1284,2019,-38.4161,-63.6167
Belgium,8980,2019,50.5039,4.4699
France,57393,2019,46.2276,2.2137
Germany,72708,2019,51.1657,10.4515
Italy,20115,2019,41.8719,12.5674
Netherlands,27640,2019,52.1326,5.2913
Switzerland,12011,2019,46.8182,8.2275
Spain,14298,2019,40.4637,-3.7492
United Kingdom,76904,2019,55.3781,-3.436
Austria,9160,2019,47.5162,14.5501
Greece,2050,2019,39.0742,21.8243
Sweden,9522,2019,60.1282,18.6435
Russian,17621,2019,61.524,105.3188
Australia,111788,2019,-25.2744,133.7751
New Zealand,19831,2019,-40.9006,174.886
South Africa,5872,2019,-30.5595,22.9375
